"ProjectID","ProjectDescription","TypeofWork","infra_type","Region","Province","Municipality","LegislativeDistrict","Longitude","Latitude","ABC","ContractCost","FundingYear","CompletionYear"
"P00824726LZ","Rehabilitation of River Protection Structure along Macabling, Santa Rosa City, Laguna","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","Region IV-A","LAGUNA","CITY OF SANTA ROSA (LAGUNA)","CITY OF STA. ROSA (LEGISLATIVE DISTRICT)",121.093253,14.296798,4.9e+07,48999622.78,2024,2024
"P00639498LZ","Construction of Slope Protection, Barangay Mahabang Parang (Package 2), Angono, Rizal","Construction of Slope Protection Structure","Flood Control Structures","Region IV-A","RIZAL","ANGONO (RIZAL)","RIZAL (FIRST LEGISLATIVE DISTRICT)",121.18563,14.54321,9800000,9308628,2022,2022
"P00631286LZ","Construction of Flood Control Structure at Sitio Ilaya, Mabilog na Bundok, Lobo, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","LOBO (BATANGAS)","BATANGAS (SECOND LEGISLATIVE DISTRICT)",121.2372,13.6489,4.9e+07,4.9e+07,2022,2023
"P00630947LZ","Construction of Flood Control Structures of Lukutang Malaki River (Tributary of Marikina River), Phase II, Sitio Anginan, Brgy. San Isidro, Rodriguez, Rizal","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","MONTALBAN (RIZAL)","RIZAL (SECOND LEGISLATIVE DISTRICT)",121.154909,14.762324,65620000,65620000,2022,2022
"P00620208LZ","Construction of Bank Protection/Flood Control Structure along Lobo-Malabrigo-Laiya-San Juan Road (Biga-Balibago Section, Phase I), Lobo, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","LOBO (BATANGAS)","BATANGAS (SECOND LEGISLATIVE DISTRICT)",121.314167,13.62222,86850000,86850000,2022,2022
"P00644534LZ","Repair/Rehabilitation/Improvement of River Control along Sta. Cruz River, Brgy Sto. Anghel Norte, Sta. Cruz, Laguna","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","Region IV-A","LAGUNA","SANTA CRUZ (CAPITAL) (LAGUNA)","LAGUNA (FOURTH LEGISLATIVE DISTRICT)",121.408956,14.287731,24125000,23395522.14,2022,2023
"P00843259LZ","Construction of Flood Control and Drainage Structure along Matuno River, Manamtam Section, Bambang, Nueva Vizcaya","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","NUEVA VIZCAYA","BAMBANG (NUEVA VIZCAYA)","NUEVA VIZCAYA (LEGISLATIVE DISTRICT)",121.06756,16.39287,89745000,89745000,2024,2024
"P00526386LZ","Construction of Ambalbalan Flood Control along Chico River Sta. 175+350 - Sta. 175+410 (R.S), Mabongtot, Lubuagan, Kalinga","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","KALINGA","","KALINGA (LEGISLATIVE DISTRICT)",121.188435,17.336825,4900000,4519926.68,2021,2022
"P00620868LZ","Construction of Flood Mitigation Structure along San Juan River, Tanauan - Sto. Tomas, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","CITY OF SANTO TOMAS (BATANGAS)","BATANGAS (THIRD LEGISLATIVE DISTRICT)",121.155023,14.084889,77200000,77199364.24,2022,2022
"P00561681LZ","Repair/Rehabilitation/Improvement of Flood Control And Drainage Structure Along Magat River, Bangar Section 2, Brgy. Bangar, Solano, Nueva Vizcaya","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","Region II","NUEVA VIZCAYA","","NUEVA VIZCAYA (LEGISLATIVE DISTRICT)",121.2374,16.53423,29700000,29700000,2021,2022
"P00839633LZ","Construction of Flood Control Structure, Barangay Soledad, San Pablo City, Laguna","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","LAGUNA","SAN PABLO CITY (LAGUNA)","LAGUNA (THIRD LEGISLATIVE DISTRICT)",121.315495,14.039588,4950000,4949518.07,2024,2024
"P00632723LZ","Rehabilitation of Drainage System at Barangay Amihan, Quezon City","Rehabilitation / Major Repair of Drainage Structure","Flood Control Structures","National Capital Region","QUEZON CITY","QUEZON CITY (METROPOLITAN MANILA)","QUEZON CITY (THIRD LEGISLATIVE DISTRICT)",121.0675664,14.6315631,4949633.23,4741678.03,2022,2022
"P00821547LZ","Construction of Masablang Flood Control, Bantay, Paracelis, Mountain Province","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","MOUNTAIN PROVINCE","PARACELIS (MOUNTAIN PROVINCE)","MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT)",121.40946,17.1698,19600000,19600000,2024,2024
"P00637070LZ","Construction of Slope Protection Structure, Brgy. Kaybanban, City of San Jose del Monte, Bulacan","Construction of Slope Protection Structure","Flood Control Structures","Region III","BULACAN","CITY OF SAN JOSE DEL MONTE (BULACAN)","CITY OF SAN JOSE DEL MONTE (LEGISLATIVE DISTRICT)",121.09334,14.81338,39199928.23,38611537.31,2022,2022
"P00839490LZ","Construction of Road Dike aling Mag-asawang Tubig River, Sampaloc Section, Barangay Sto. Niño, Naujan, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","NAUJAN (ORIENTAL MINDORO)","ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT)",121.18872172,13.25338414,247500000,247496440.5,2024,2024
"P00726236LZ","Construction of Flood Control Structure, Calawis River (Downstream) Phase 2, Barangay Calawis, Antipolo City","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","CITY OF ANTIPOLO (RIZAL)","ANTIPOLO CITY (SECOND LEGISLATIVE DISTRICT)",121.237526,14.669262,4.9e+07,48999164.58,2023,2023
"P00526367LZ","Construction of Nabuangan River (Upstream) Flood Control, Sta. 37 + 807 - Sta. 38 + 267 (L/S), Sitio Paddig, Brgy. Caglayan, Conner, Apayao","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","APAYAO","","APAYAO (LEGISLATIVE DISTRICT)",121.3158333,17.8,39199819.73,38292917.46,2021,2022
"P00821611LZ","Construction of River Control Structure along Cawacat River, Cambunang Section, Bulalacao, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","BULALACAO (SAN PEDRO) (ORIENTAL MINDORO)","ORIENTAL MINDORO (SECOND LEGISLATIVE DISTRICT)",121.317105555556,12.367525,29400000,29396724.81,2024,2024
"P00726551LZ","Construction of Flood Mitigation Structure along San Juan River, Tanauan - Sto. Tomas, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","CITY OF TANAUAN (BATANGAS)","BATANGAS (THIRD LEGISLATIVE DISTRICT)",121.155277,14.083845,96500000,96499284.5,2023,2023
"P00725669LZ","Construction of Sanchez Mira Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","CAGAYAN","SANCHEZ-MIRA (CAGAYAN)","CAGAYAN (SECOND LEGISLATIVE DISTRICT)",121.23841,18.55682,96500000,96500000,2023,2023
"P00725524LZ","Construction of Slope Protection along Laguna Lakeshore (Package 8), Taguig City","Construction of Slope Protection Structure","Flood Control Structures","National Capital Region","TAGUIG CITY","TAGUIG CITY (METROPOLITAN MANILA)","TAGUIG CITY (SECOND LEGISLATIVE DISTRICT)",121.067635,14.503846,75463814.5,71675531.01,2023,2023
"P00725937LZ","Rehabilitation of Flood Mitigation Structure, Parian Creek at Barangay Kapasigan, Sagad, Sto. Tomas, Palatiw, San Miguel and Pinagbuhatan, Pasig City","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","National Capital Region","PASIG CITY","CITY OF PASIG (METROPOLITAN MANILA)","PASIG CITY (LEGISLATIVE DISTRICT)",121.093451,14.555177,15679504.33,14881389.09,2023,2023
"P00726206LZ","Construction of Flood Control Structure, Pinagsibaan Bridge 2, Rosario, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","ROSARIO (BATANGAS)","BATANGAS (FOURTH LEGISLATIVE DISTRICT)",121.31999,13.83541,29400000,29400000,2023,2023
"P00621123LZ","Construction of Pula River Control, Brgy. Pagalagala Section, Sta. 0+000 - Sta. 0+480 and Sta. 0+000 - Sta. 0+086, Pinamalayan, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","PINAMALAYAN (ORIENTAL MINDORO)","ORIENTAL MINDORO (SECOND LEGISLATIVE DISTRICT)",121.41,13.036111,48999227.91,48999413.41,2022,2022
