"ProjectID","ProjectDescription","TypeofWork","infra_type","Region","Province","Municipality","LegislativeDistrict","Longitude","Latitude","ABC","ContractCost","FundingYear","CompletionYear"
"P00824759LZ","Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89245,9.99653,17963475,17961569.07,2024,2024
"P00824758LZ","Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89251,9.99761,17370000,17369992.99,2024,2024
"P00824750LZ","Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89323,9.99671,18335000,16802607.63,2024,2024
"P00737551LZ","Construction of Flood Control Structure, Barangay Maoyon, Puerto Princesa City, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.89970167,10.00265833,4900000,4899590,2023,2023
"P00823565LZ","Construction of Tanabag River Waterway, (Upstream Rightside), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",118.99017684,9.99904334,154400000,154395357.9,2024,2024
"P00824756LZ","Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12203,10.02967,17370000,17369997.4,2024,2024
"P00824757LZ","Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12383,10.02881,17370000,16120415.26,2024,2024
"P00824760LZ","Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","PUERTO PRINCESA CITY (CAPITAL) (PALAWAN)","PALAWAN (THIRD LEGISLATIVE DISTRICT)",119.12416,10.02751,17370000,17370000,2024,2024
"P00726266LZ","Construction of Magsarongsong Bridge Flood Control Structure, Sta. 0 + 000.00 - Sta. 0 + 084.00, Bank I UPSTREAM (L/S), Sta. 0 + 000.00 - Sta. 0 + 084.00, BANK II UPSTREAM (L/S), Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.206224,10.25288,9064943.69,9014282.42,2023,2023
"P00821520LZ","Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","SANTA BARBARA (PANGASINAN)","PANGASINAN (THIRD LEGISLATIVE DISTRICT)",120.400763,16.006788,48250000,48248598.38,2024,2024
"P00820974LZ","Construction of Flood Control Structure along Tulariquin River (RS), Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.21562,10.147,48249976.12,48249914.4,2024,2024
"P00820979LZ","Construction of Slope Protection Structure along Tagumpay Bridge, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.22557,10.27601,44099975.3,44095477.55,2024,2024
"P00632934LZ","Construction of Sea Wall, Barangay Caramay, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.231534,10.183842,4949962.82,4949962.82,2022,2022
"P00844779LZ","Construction/Improvement of Storm Drainage System at Purok Zambales, Brgy. 3, Roxas, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.34648,10.32404,9899934.12,9784647.85,2024,2024
"P00820975LZ","Construction of Slope Protection Structure along Iraan Bridge, Roxas, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ISABELA","ROXAS (ISABELA)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.37435,10.42931,44099956.7,44097536.12,2024,2024
"P00561401LZ","Construction of Seawall, Brgy. Buenasuerte, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.3863889,11.18027778,9899984.53,7778048.48,2021,2023
"P00820977LZ","Construction of Slope Protection Structure along Lamoro Bridge 1, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","EL NIDO (BACUIT) (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.41688,11.19344,44099949.37,44097774.54,2024,2024
"P00726267LZ","Construction of Lamoro Bridge III Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 080.85, El Nido, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","EL NIDO (BACUIT) (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.430384,11.243519,9064950.34,8929075.23,2023,2023
"P00742461LZ","Construction of Drainage System, Tumarbong, Roxas, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","PALAWAN","ROXAS (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.461795,10.379389,4949974.91,4514354.14,2023,2023
"P00820972LZ","Construction of Abongan CIS Drainage Canal, Taytay, Palawan","Construction of Drainage Structure","Flood Control Structures","Region IV-B","RIZAL","TAYTAY (RIZAL)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.46259,10.68633,19599983.05,19598517.1,2024,2024
"P00726264LZ","Construction of Bato Bridge Flood Control Structure, Taytay, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","TAYTAY (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.493683,10.717258,9064927.16,9064029.8,2023,2023
"P00820412LZ","Construction of Slope Protection Structure along Balite Bridge, Taytay, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","RIZAL","TAYTAY (RIZAL)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.496278,10.64284,96499945.21,96499967.12,2024,2024
"P00820414LZ","Construction of Slope Protection Structure along Talog Bridge, Taytay, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","RIZAL","TAYTAY (RIZAL)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.50026,10.64781,96499980.15,96499998.63,2024,2024
"P00843194LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+180 - Sta. 000+610, Barangay Boboy, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.778189,16.132714,96500000,96500000,2024,2024
"P00843195LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+610 - Sta. 001+040, Barangay Boboy, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.781525,16.134808,96500000,96500000,2024,2024
"P00726326LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Aloleng Section), Sta. 002+019.5 - Sta. 002+536.1, Barangay Aloleng, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.787802,16.128232,77200000,77200000,2023,2023
"P00820714LZ","Construction of Flood Mitigation Facilities along Balingcaguing River (Aloleng Section), Sta. 002+059 - Sta. 002+303, Barangay Aloleng, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.787876,16.131694,4.9e+07,4.9e+07,2024,2024
"P00820122LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Aloleng Section), Sta. 002 + 896.6 - Sta. 003 + 296.6, Barangay Aloleng, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.7881125833,16.1282539167,96500000,96500000,2024,2024
"P00820127LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+848 - Sta. 002+278, Barangay Poblacion West, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.78954,16.128628,96500000,96500000,2024,2024
"P00820126LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+418 - Sta. 001+848, Barangay Poblacion West, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.790688,16.124765,96500000,96500000,2024,2025
"P00726365LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section) Sta. 001+900-Sta. 002+680, barangay Poblacion West, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.792725,16.121518,51145000,51145000,2023,2024
"P00820715LZ","Construction of Flood Mitigation Facilities along Balingcaguing River (Poblacion East Section), Sta. 003+436 - Sta. 003+680, Barangay Poblacion East, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.799836,16.113559,4.9e+07,4.9e+07,2024,2024
"P00726328LZ","Construction of Flood Mitigation Structure along Balingcaguing River, Sta. 004+564.2 - Sta. 005+073.8, Barangay Poblacion East, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.801599,16.111824,77200000,77200000,2023,2023
"P00820123LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Bangan-Oda Section), Sta. 007+850 - Sta. 008+250, Barangay Bangan-Oda, Agno, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","AGNO (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.829299,16.108686,96500000,96500000,2024,2025
"P00631082LZ","Construction of Flood Control Structure, Brgy. Hermosa, Dasol, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","DASOL (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.865492,15.941711,19600000,19600000,2022,2022
"P00820124LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017+829 - Sta. 018+229, Barangay Caranglaan, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.8757,16.0883,96500000,96500000,2024,2024
"P00726265LZ","Construction of Buluang Bridge I Flood Control Structure, Sta. 0 + 044.64 - Sta. 0 + 095.00 (UPSTREAM - BK.I), Sta. 0 + 000 - Sta. 0 + 095.00 (UPSTREAM - BK. II), Sta. 0 + 000.00 - Sta. 0 + 026.00 (DOWNSTREASM - BK. II), Busuanga, Palawan","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","PALAWAN","BUSUANGA (PALAWAN)","PALAWAN (FIRST LEGISLATIVE DISTRICT)",119.877454,12.221611,9064955.46,8884656,2023,2023
"P00823306LZ","Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+092 - Sta. 017+457, Caranglaan, Mabini, Pangasinan","Construction of Slope Protection Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.886445,16.082542,96500000,96500000,2024,2025
"P00823307LZ","Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+457 - Sta. 017+822, Caranglaan, Mabini, Pangasinan","Construction of Slope Protection Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.889496,16.081463,96500000,96500000,2024,2024
"P00821091LZ","Construction of Flood Control along Balingcaguing River, Barangay Anapao, Burgos, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","BURGOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.890938,16.079879,72686695,72686685,2024,2024
"P00726363LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017 + 822 - Sta. 018 + 602, Barangay Caranglaan, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.892779,16.076452,53075000,52809625,2023,2023
"P00620955LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Tambacan Section) Sta.018+674 - Sta.019+323, Brgy. Tambacan, Burgos, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","BURGOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.894204,16.075354,4.9e+07,4.9e+07,2022,2022
"P00726330LZ","Construction of Flood Mitigation Structure along Bayambang River, Sta. 000+500 - Sta. 001+013.1, R/S, Barangay Bayambang, Infanta, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","INFANTA (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.897591,15.88173,77200000,77200000,2023,2023
"P00727153LZ","Construction of Gama River Flood Control Structure, Package 1, Sta. Cruz, Zambales","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.910846,15.784678,48999232.94,48117246.7,2023,2024
"P00824717LZ","Construction of Gama River Slope Protection/ Flood Control Structure Phase 3, Sta. Cruz, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.910956,15.788027,48249239.42,47694698,2024,2024
"P00824716LZ","Construction of Gama River Slope Protection/ Flood Control Structure Phase 2, Sta. Cruz, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.911072,15.788168,48249959.91,47695117,2024,2024
"P00640535LZ","Construction of Flood Mitigation Structure, Bayto River (Upstream North Approach), Sta. Cruz, Zambales","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.911692,15.722124,29392945.08,29698817.29,2022,2022
"P00740644LZ","Construction of Drainage System, Maestre St., Brgy. Poblacion, Sta. Cruz, Zambales","Construction of Drainage Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.914663,15.761437,19599664.01,19266907.03,2023,2023
"P00631277LZ","Construction of Line Canal, Barangay Libertador, Candelaria, Zambales","Construction of Drainage Structure","Flood Control Structures","Region III","ZAMBALES","CANDELARIA (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.915881,15.622302,9800000,9506441.08,2022,2022
"P00726327LZ","Construction of Flood Mitigation Structure along Nayom River, Sta. 005+775.6 - Sta. 006+285.2, Barangay Maya, Infanta, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","INFANTA (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.923106,15.816277,77200000,77200000,2023,2023
"P00843196LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 025+700 - Sta. 026+130, Barangay Calzada, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.926663,16.078171,96500000,96500000,2024,2025
"P00824834LZ","Construction of Slope Protection Structure along Nayom River, Sta.006+285.2 - Sta. 006+922.2, Maya, lnfanta, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","INFANTA (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.928258,15.807302,96500000,96500000,2024,2024
"P00843197LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 026+130 - Sta. 026+560, Barangay Calzada, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.929609,16.075554,96500000,96500000,2024,2025
"P00824835LZ","Construction of Slope Protection Structure along Nayom River, Sta.006+922.2 - Sta. 007+559.2, Maya, lnfanta, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","INFANTA (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.933349,15.810125,96500000,96500000,2024,2024
"P00843180LZ","Construction of Bank Slope Protection along Nayom River, Sta. 007+559.2 - Sta. 008+159.2, Barangay Maya, Infanta, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","INFANTA (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.938083,15.81281,96500000,96500000,2024,2025
"P00726364LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027 + 420 - Sta. 028 + 200, Barangay Poblacion, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.940066,16.068056,53075000,53075000,2023,2023
"P00821105LZ","Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027+880 - Sta. 028+203, Barangay Poblacion, Mabini, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","MABINI (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.94275,16.058989,72687660,72687660,2024,2025
"P00820716LZ","Construction of Flood Mitigation Facilities, Alaminos River (Palamis Section), Sta. 016+340 - Sta. 016+584, Barangay Palamis, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.947081,16.140739,4.9e+07,4.9e+07,2024,2024
"P00727154LZ","Construction of Marangla River Flood Control Structure, Package 1, Iba, Zambales","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","ZAMBALES","IBA (CAPITAL) (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.961637,15.38565,48999487.57,48995000.77,2023,2023
"P00630935LZ","Construction of Slope Protection along Olongapo-Bugallon Road, Pangolingan Section (Phase 3), Palauig, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","PALAUIG (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.961721,15.475036,96494951.88,96498232.03,2022,2023
"P00630936LZ","Construction of Slope Protection along Olongapo-Bugallon Road, Salaza Section (Phase 3), Palauig, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","PALAUIG (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.963464,15.470612,96499280.08,96482482.65,2022,2023
"P00630937LZ","Construction of Slope Protection along Olongapo-Bugallon Road, Salaza Section (Phase 4), Palauig, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","PALAUIG (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.963464,15.47062,96494369.21,91669651.44,2022,2023
"P00526066LZ","Construction/Rehabilitation/Improvement of Slope Protection along Olongapo - Bugallon Road, Pangolingan Section (Phase 2), Palauig, Zambales","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.963824,15.469899,48999266.55,46794299.56,2021,2022
"P00824714LZ","Construction of Guisguis Flood Control at Nayum River, Brgy. Guisguis, Sta. Cruz, Zambales","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","ZAMBALES","SANTA CRUZ (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.967118,15.806961,48249028.28,47670294,2024,2024
"P00824799LZ","Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+886 - Sta. 010+425, Barangay Jose, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.968266,16.170863,96500000,96500000,2024,2025
"P00820121LZ","Construction of Flood Mitigation Structure along Alaminos River , Sta. 009+772.9 - Sta. 010+172.9, Barangay Cayucay, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.968294,16.17243,96500000,96500000,2024,2024
"P00941153LZ","Rehabilitation of Flood Mitigation Structure, Barangay Telbang, Alaminos City, Pangasinan","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.969155179269,16.0968465671925,4950000,4850385.71,2025,2025
"P00824798LZ","Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+347 - Sta. 009+886, Barangay Jose, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.970262,16.173912,96500000,96500000,2024,2025
"P00620792LZ","Construction of Flood Mitigation Structure along Alaminos River (Palamis Section) Sta.015+259 - Sta.015+979, Brgy. Palamis, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.971094,16.142784,66585000,66585000,2022,2022
"P00823305LZ","Construction of Slope Protection Structure along Alaminos River, Sta.009+372.9 - Sta. 009+772.9, Cayucay, Alaminos City, Pangasinan","Construction of Slope Protection Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.971324,16.17346,96500000,96500000,2024,2024
"P00726332LZ","Construction of Flood Mitigation Structure along Alaminos River, Sta. 010+172.9 - Sta. 010+702.8, Barangay Poblacion to Cayucay, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.971464,16.170454,77200000,77200000,2023,2024
"P00620794LZ","Construction of Flood Mitigation Structure along Alaminos River (Pogo Section) Sta.010+362 - Sta.011+082, Brgy. Pogo, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.971992,16.167279,66585000,66585000,2022,2022
"P00620793LZ","Construction of Flood Mitigation Structure along Alaminos River (Poblacion Section) Sta.011+058 - Sta.011+778, Brgy. Poblacion, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.972413,16.16733,66971000,66971000,2022,2022
"P00820120LZ","Construction of Flood Mitigation Structure along Alaminos River (Pogo Section), Sta. 010+525 - Sta. 010+925, Barangay Pogo, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.9734,16.169862,96500000,96500000,2024,2024
"P00726361LZ","Construction of Flood Mitigation Structure along Alaminos River (Pogo Section), Sta. 009 + 912 - Sta. 010 + 692, Barangay Pogo, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.975323,16.167831,72375000,72375000,2023,2023
"P00726362LZ","Construction of Flood Mitigation Structure along Alaminos River (Poblacion Section), Sta. 010 + 621 - Sta. 011 + 401, Barangay Poblacion, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.975441,16.166815,72375000,72375000,2023,2024
"P00620954LZ","Construction of Flood Mitigation Structure along Alaminos River, Palamis Section, Sta. 015+979 - Sta. 016+495, Alaminos, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.975694,16.138594,4.9e+07,4.9e+07,2022,2022
"P00824797LZ","Construction of Bank Slope Protection along Alaminos River, Sta. 008+572.9 - Sta. 008+972.9, Barangay Cayucay, Alaminos City, Pangasinan","Construction of Flood Mitigation Structure","Flood Control Structures","Region I","PANGASINAN","CITY OF ALAMINOS (PANGASINAN)","PANGASINAN (FIRST LEGISLATIVE DISTRICT)",119.976198,16.177186,96500000,96500000,2024,2025
"P00742162LZ","Construction of Slope Protection at Pinagrealan, Upstream, Candelaria, Zambales (Phase 1)","Construction of Slope Protection Structure","Flood Control Structures","Region III","ZAMBALES","CANDELARIA (ZAMBALES)","ZAMBALES (SECOND LEGISLATIVE DISTRICT)",119.979884,15.586431,98999412.33,98009377.11,2023,2023
